"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","view_history","phase","trial_name","trial_num","key_selected","card_selected","reward","question_order","type_of_trial","block_type","block","index_right","index_left","prob_selected","prob_unselected"
"html-keyboard-response","446","761844","0.0-5.0-2.0-1.1-3.73","5c71b17c891e3200012477a2","","","","","","null","<img class='card_left' src='images/old/10.jpg'><img class=reward src='images/zero_coins.png'>","null","","exp","reward","23","0","1","0","","0","2","1","0","1","0.5","0.1"
"html-keyboard-response","447","762758","0.0-5.0-2.0-1.1-0.74","5c71b17c891e3200012477a2","","","","","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"html-keyboard-response","448","763318","0.0-5.0-2.0-1.1-1.74","5c71b17c891e3200012477a2","","","","","","558","<img class='card_left' src='images/old/11.jpg'><img class='card_right' src='images/old/12.jpg'><div class=""fixation"">+</div>","k","","exp","cards","24","","","","","1","2","","","","",""
"html-keyboard-response","449","763826","0.0-5.0-2.0-1.1-2.74","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/old/12.jpg'><div class=""fixation"">+</div>","null","","exp","choice","24","1","3","","","1","2","","3","2","",""
"html-keyboard-response","450","764585","0.0-5.0-2.0-1.1-3.74","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/old/12.jpg'><img class=reward src='images/zero_coins.png'>","null","","exp","reward","24","1","3","0","","1","2","1","3","2","0.5","0.1"
"html-keyboard-response","451","765495","0.0-5.0-2.0-1.1-0.75","5c71b17c891e3200012477a2","","","","","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"html-keyboard-response","452","765985","0.0-5.0-2.0-1.1-1.75","5c71b17c891e3200012477a2","","","","","","489","<img class='card_left' src='images/catch_trial/17.jpg'><img class=surprise src='images/surprise.jpg'><img class='card_right' src='images/catch_trial/44.jpg'>","s","","exp","cards","25","","","","","2","2","","","","",""
"html-keyboard-response","453","766487","0.0-5.0-2.0-1.1-2.75","5c71b17c891e3200012477a2","","","","","","null","<img class='card_left' src='images/catch_trial/17.jpg'><img class=surprise src='images/surprise.jpg'>","null","","exp","choice","25","0","48","","","2","2","","49","48","",""
"html-keyboard-response","454","767238","0.0-5.0-2.0-1.1-3.75","5c71b17c891e3200012477a2","","","","","","null","<img class='card_left' src='images/catch_trial/17.jpg'><img class=surprise src='images/surprise.jpg'>","null","","exp","reward","25","0","48","0","","2","2","1","49","48","0.5","0.5"
"html-keyboard-response","455","768150","0.0-5.0-2.0-1.1-0.76","5c71b17c891e3200012477a2","","","","","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
